loadapp_2024_03_18_12_53_16_589.loadflux
comment new app 11 sec og walk
	P1V477-L		P1V450-R		
Time[secs]	Force[N]	Time[secs]	Force[N]	
0.000	25.000	0.000	877.500		
0.005	25.000	0.005	873.990		
0.010	17.500	0.010	873.990		
0.015	15.000	0.015	859.950		
0.020	15.000	0.020	856.440		
0.025	12.500	0.025	849.420		
0.030	10.000	0.030	845.910		
0.035	7.500	0.035	849.420		
0.040	5.000	0.040	842.400		
0.045	5.000	0.045	838.890		
0.050	2.500	0.050	831.870		
0.055	7.500	0.055	835.380		
0.060	7.500	0.060	831.870		
0.065	2.500	0.065	831.870		
0.070	7.500	0.070	824.850		
0.075	4.980	0.075	827.640		
0.080	2.490	0.080	827.640		
0.085	2.490	0.085	827.640		
0.090	2.490	0.090	824.220		
0.095	4.980	0.095	827.640		
0.100	0.000	0.100	834.480		
0.105	0.000	0.105	831.060		
0.110	2.490	0.110	834.480		
0.115	0.000	0.115	831.060		
0.120	2.490	0.120	834.480		
0.125	0.000	0.125	841.320		
0.130	0.000	0.130	844.740		
0.135	2.490	0.135	844.740		
0.140	0.000	0.140	851.580		
0.145	7.500	0.145	855.000		
0.150	7.480	0.150	856.680		
0.155	7.480	0.155	856.680		
0.160	2.380	0.160	856.680		
0.165	2.380	0.165	860.220		
0.170	4.930	0.170	863.760		
0.180	4.930	0.175	863.760		
0.180	4.930	0.180	867.300		
0.185	7.480	0.185	870.840		
0.190	7.480	0.195	874.380		
0.195	0.000	0.195	874.380		
0.200	4.930	0.200	881.460		
0.205	4.930	0.205	874.380		
0.210	7.480	0.210	877.920		
0.215	19.890	0.215	881.460		
0.220	29.920	0.220	877.920		
0.225	42.500	0.225	885.000		
0.230	76.440	0.230	877.920		
0.235	119.560	0.235	885.000		
0.240	166.600	0.240	877.920		
0.245	211.680	0.245	877.920		
0.250	239.120	0.250	874.380		
0.255	248.920	0.255	877.920		
0.260	256.760	0.260	874.380		
0.265	274.400	0.265	870.840		
0.270	295.960	0.270	867.300		
0.275	329.280	0.275	849.600		
0.280	364.560	0.280	838.980		
0.285	399.840	0.285	824.820		
0.290	427.280	0.290	800.040		
0.295	456.680	0.295	782.340		
0.300	490.000	0.300	761.100		
0.305	524.700	0.305	745.000		
0.310	554.400	0.310	727.120		
0.315	590.700	0.315	712.220		
0.320	620.400	0.320	697.320		
0.325	646.800	0.325	688.380		
0.330	679.800	0.330	679.440		
0.335	699.600	0.335	664.540		
0.340	719.400	0.340	649.640		
0.345	742.500	0.345	634.740		
0.350	755.700	0.350	622.820		
0.355	768.900	0.355	604.940		
0.365	792.000	0.360	575.140		
0.365	792.000	0.365	548.320		
0.370	801.900	0.370	521.500		
0.375	818.400	0.375	491.700		
0.380	825.000	0.380	460.000		
0.385	839.360	0.385	423.200		
0.390	839.360	0.395	393.760		
0.395	846.240	0.395	393.760		
0.400	860.000	0.400	356.960		
0.405	853.120	0.405	314.640		
0.410	856.560	0.410	252.080		
0.415	856.560	0.415	206.080		
0.420	853.120	0.420	169.280		
0.425	853.120	0.425	143.520		
0.430	849.680	0.430	115.920		
0.435	842.800	0.435	101.200		
0.440	835.920	0.440	84.640		
0.445	825.600	0.445	77.280		
0.450	822.160	0.450	64.400		
0.455	808.400	0.455	51.520		
0.460	805.000	0.460	47.500		
0.465	795.340	0.465	42.370		
0.470	779.240	0.470	42.370		
0.475	769.580	0.475	34.960		
0.480	766.360	0.480	34.960		
0.485	756.700	0.485	34.960		
0.490	740.600	0.490	34.960		
0.495	737.380	0.495	32.490		
0.500	724.500	0.500	27.360		
0.505	711.620	0.505	27.360		
0.510	708.400	0.510	19.950		
0.515	698.740	0.515	17.480		
0.520	695.520	0.520	22.420		
0.525	682.640	0.525	9.880		
0.530	669.760	0.530	7.410		
0.535	666.660	0.535	5.000		
0.545	663.950	0.540	10.000		
0.545	663.950	0.545	2.480		
0.550	655.820	0.550	5.000		
0.555	650.400	0.555	5.000		
0.560	650.400	0.560	5.000		
0.565	647.690	0.565	7.480		
0.570	644.980	0.570	2.480		
0.575	644.980	0.575	2.480		
0.580	647.690	0.580	2.480		
0.585	647.690	0.590	0.000		
0.590	653.110	0.590	0.000		
0.595	655.820	0.595	0.000		
0.600	655.820	0.600	2.480		
0.605	669.370	0.605	0.000		
0.610	677.500	0.610	2.480		
0.615	684.600	0.615	0.000		
0.620	687.860	0.620	0.000		
0.625	697.640	0.625	0.000		
0.630	707.420	0.630	2.500		
0.635	717.200	0.635	0.000		
0.640	726.980	0.640	2.500		
0.645	736.760	0.645	0.000		
0.650	749.800	0.650	0.000		
0.655	759.580	0.655	0.000		
0.660	769.360	0.660	0.000		
0.665	782.400	0.665	2.500		
0.670	788.920	0.670	0.000		
0.675	795.440	0.675	0.000		
0.680	805.220	0.680	0.000		
0.685	815.000	0.685	2.500		
0.690	819.400	0.690	2.490		
0.695	829.600	0.695	0.000		
0.700	829.600	0.700	4.980		
0.705	839.800	0.705	2.490		
0.710	839.800	0.710	2.490		
0.715	839.800	0.715	0.000		
0.720	850.000	0.720	7.500		
0.730	839.800	0.725	4.980		
0.730	839.800	0.730	2.490		
0.735	846.600	0.735	0.000		
0.740	843.200	0.740	7.500		
0.745	846.600	0.745	0.000		
0.750	836.400	0.750	0.000		
0.755	836.400	0.755	2.490		
0.760	839.800	0.760	2.490		
0.765	836.400	0.765	8.080		
0.770	837.500	0.770	26.260		
0.775	830.800	0.775	26.260		
0.780	830.800	0.780	34.340		
0.785	827.450	0.790	60.600		
0.790	807.350	0.790	60.600		
0.795	807.350	0.795	123.220		
0.800	793.950	0.800	204.020		
0.805	783.900	0.805	284.820		
0.810	760.450	0.810	341.380		
0.815	743.700	0.815	373.700		
0.820	720.250	0.820	393.900		
0.825	676.700	0.825	414.100		
0.830	636.500	0.830	436.320		
0.835	572.850	0.835	468.640		
0.840	519.250	0.840	505.000		
0.845	462.500	0.845	548.800		
0.850	399.600	0.850	591.920		
0.855	334.850	0.855	631.120		
0.860	273.800	0.860	666.400		
0.865	222.000	0.865	701.680		
0.870	175.750	0.870	736.960		
0.875	142.450	0.875	776.160		
0.880	123.950	0.880	811.440		
0.885	103.600	0.885	834.960		
0.890	94.350	0.890	866.320		
0.895	79.550	0.895	893.760		
0.900	61.050	0.900	917.280		
0.910	46.250	0.905	944.720		
0.910	46.250	0.910	964.320		
0.915	40.700	0.915	980.000		
0.920	33.300	0.920	996.300		
0.925	30.000	0.925	1008.600		
0.930	19.920	0.930	1016.800		
0.935	12.480	0.935	1016.800		
